DOID_3	MP_0002871	MP_0030118	HP_0004943	HP_0100527	HP_0000112	HP_0000175	HP_0100002	HP_0003677	HP_0031450	HP_0003587	HP_0100001	HP_0001395
DOID_4	MP_0005387	MP_0001846	MP_0002164	HP_0011793	HP_0001881	HP_0002664	MP_0001845	HP_0002715	HP_0004377	HP_0012647	HP_0007379	HP_0012649
DOID_15	HP_0000789	HP_0012125	MP_0003375	HP_0010461	HP_0000078	HP_0100787	HP_0000144	HP_0008775	MP_0005389	MP_0003376	HP_0000812	HP_0030126
DOID_16	HP_0000951	MP_0005501	HP_0001596	HP_0003765	HP_0001025	MP_0001194	HP_0002671	HP_0001061	MP_0004947	HP_0000964	HP_0000988	HP_0011123
DOID_17	HP_0001367	HP_0000924	MP_0002993	HP_0002725	HP_0000939	HP_0011849	MP_0003560	HP_0001369	HP_0001370	MP_0005390	HP_0004349	MP_0002933
DOID_18	HP_0000119	HP_0012210	HP_0012622	HP_0000123	HP_0012211	HP_0010786	MP_0002136	MP_0011762	HP_0000077	HP_0000079	HP_0000083	HP_0010935
DOID_26	MP_0002079	HP_0001733	HP_0002894	MP_0001869	HP_0001943	MP_0000188	MP_0000189	HP_0001735	MP_0002693	HP_0001732	MP_0005560	MP_0001560
DOID_28	HP_0000820	HP_0001733	HP_0002926	HP_0002894	MP_0002164	MP_0001869	HP_0000818	HP_0001732	MP_0000189	MP_0002876	MP_0005560	HP_0001943
DOID_37	HP_0100658	MP_0001194	HP_0001061	MP_0004947	HP_0000951	HP_0000988	HP_0200042	HP_0011123	HP_0003765	HP_0000964	MP_0005501	HP_0001025
DOID_47	HP_0025020	MP_0003608	HP_0008711	HP_0012125	HP_0000024	HP_0010461	HP_0000119	HP_0100787	HP_0000078	HP_0000812	HP_0008775	HP_0003148
DOID_50	MP_0003504	HP_0000821	MP_0002164	HP_0000836	MP_0002876	HP_0100031	HP_0002926	HP_0000820	HP_0002890	MP_0003503	MP_0003502	HP_0100646
DOID_53	HP_0000830	MP_0001746	HP_0031218	HP_0010514	HP_0011747	HP_0040075	HP_0012503	HP_0011750	HP_0000845	HP_0040277	HP_0002893	MP_0003506
DOID_57	HP_0025578	MP_0010463	HP_0002616	HP_0004970	MP_0006047	HP_0001647	HP_0001650	HP_0001646	HP_0031655	MP_0006049	HP_0001659	MP_0009384
DOID_61	HP_0001704	HP_0001634	HP_0005180	HP_0001654	MP_0006047	HP_0001653	MP_0006044	HP_0001659	MP_0009384	HP_0001633	MP_0006045	MP_0006046
DOID_62	HP_0001647	MP_0006047	HP_0001650	HP_0001659	HP_0001646	HP_0011103	MP_0006049	MP_0009384	HP_0001682	HP_0031655	MP_0010463	HP_0002616
DOID_65	HP_0000939	HP_0001367	MP_0003560	MP_0005390	HP_0002725	HP_0011849	HP_0000924	MP_0002993	HP_0001370	HP_0001369	MP_0002933	HP_0004349
DOID_66	MP_0004510	HP_0100614	HP_0007269	HP_0012490	HP_0005547	HP_0005534	MP_0011164	HP_0040290	HP_0003011	HP_0003202	HP_0003797	HP_0003198
DOID_67	HP_0002500	HP_0002383	HP_0002171	MP_0001847	HP_0100561	HP_0030892	HP_0007302	HP_0030890	MP_0008912	MP_0008911	HP_0100754	HP_0003396
DOID_70	HP_0100008	MP_0000609	HP_0100007	HP_0012115	HP_0002577	MP_0001860	HP_0012539	MP_0001873	HP_0005263	HP_0002665	HP_0012189	HP_0004295
DOID_74	HP_0001873	MP_0009440	HP_0011893	HP_0011873	HP_0001877	HP_0001871	MP_0001577	HP_0001875	HP_0001872	HP_0001903	HP_0001911	MP_0002429
DOID_75	HP_0001004	HP_0100521	HP_0010286	HP_0002840	HP_0004311	HP_0012156	HP_0000777	MP_0001870	HP_0100763	HP_0002733	MP_0010141	MP_0003865
DOID_76	MP_0009854	HP_0012126	HP_0006753	HP_0011024	HP_0004295	MP_0001873	HP_0002036	HP_0002578	HP_0007378	HP_0002577	HP_0005263	HP_0004400
DOID_77	HP_0011024	HP_0002583	HP_0002242	HP_0001392	HP_0007378	HP_0004386	HP_0002577	MP_0003866	MP_0003304	HP_0002012	HP_0002250	HP_0002037
DOID_82	HP_0004673	HP_0000523	HP_0000518	HP_0005346	HP_0002486	HP_0000529	MP_0004036	HP_0007787	HP_0000517	HP_0002058	HP_0000298	MP_0003157
DOID_83	HP_0000519	HP_0100018	HP_0000518	HP_0012372	HP_0000517	HP_0012374	HP_0000523	HP_0010920	HP_0011141	HP_0000478	HP_0100019	HP_0004328
DOID_84	HP_0012167	HP_0100035	HP_0100323	HP_0000722	HP_0040188	HP_0100033	HP_0000708	HP_0010886	HP_0012166	HP_0100034	HP_0010885	HP_0030212
DOID_90	HP_0008469	HP_0500009	HP_0003419	HP_0003302	HP_0008419	HP_0000925	HP_0005108	HP_0002945	HP_0003418	HP_0009121	HP_0030040	HP_0030871
DOID_92	HP_0002300	HP_0007301	HP_0002186	HP_0011098	HP_0002167	HP_0008529	HP_0000745	HP_0012717	HP_0001260	HP_0012671	HP_0010529	HP_0012760
DOID_93	HP_0010523	HP_0040293	HP_0002381	HP_0030219	HP_0002427	HP_0011098	HP_0002186	HP_0002463	HP_0002167	HP_0004374	HP_0002145	HP_0010524
DOID_96	HP_0004387	HP_0003324	MP_0001664	HP_0002014	MP_0003260	HP_0030809	MP_0001881	HP_0100519	MP_0013148	MP_0003624	HP_0002017	HP_0002018
